"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean"	"Delta.13CO2.Mean"	"HR.12CH4.Mean"	"HR.13CH4.Mean"	"HP.12CH4.Mean"	"HP.13CH4.Mean"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"	"m.water"	"treatment"	"sample.date"	"sample.depth"	"V.hs.initial"	"sal"	"T.equil"	"hs.removed"
"102"	28	1	"07/08/16 14:55:53"	1468004058.09962	-36.339	-37.569	-51.277	9.656	0.105	9.656	0.105	48	68	3	864	" Mtot = 890.51."	"07/08/16"	"14:55:53"	9.761	9.761	8.797	1008.41	26	756.369701451507	7.61532355003949	0	-37.569	874.295	"Bcubi 50x"	"20160706"	1	"0.15"	"34.8"	"0"	0
"103"	29	1	"07/08/16 15:06:21"	1468004685.14097	-36.213	-37.439	-117.998	9.571	0.104	9.572	0.104	48	68	3	864	" Mtot = 890.51."	"07/08/16"	"15:06:21"	9.676	9.675	4.218	1008.41	26	756.369701451507	7.61532355003949	0	-37.439	874.295	"Bcubi 50x"	"20160706"	1	"0.15"	"34.8"	"0"	0
"199"	23	1	"07/11/16 13:21:01"	1468257566.26708	-32.964	-38.939	-126.995	8.043	0.088	8.112	0.088	48	68	3	869	" Mtot = 890.51."	"07/11/16"	"13:21:01"	8.2	8.131	82.212	1014.9	28	761.23760177223	7.61041404135309	0	-38.939	874.295	"Bcubi 50x"	"20160706"	1	"0.15"	"34.8"	"0"	6
"200"	24	1	"07/11/16 13:31:19"	1468258183.90395	-34.622	-38.385	-205.226	7.99	0.087	8.034	0.087	48	68	3	869	" Mtot = 890.51."	"07/11/16"	"13:31:19"	8.121	8.077	91.653	1014.9	28	761.23760177223	7.61041404135309	0	-38.385	874.295	"Bcubi 50x"	"20160706"	1	"0.15"	"34.8"	"0"	6
"286"	22	1	"07/14/16 13:57:57"	1468518981.4572	-36.399	-37.879	-26.177	7.79	0.085	7.798	0.084	48	68	3	867	" Mtot = 890.51. 0.5 mM BES"	"07/14/16"	"13:57:57"	7.882	7.875	70.168	1014	31	760.5625462578	7.59963796329357	0	-37.879	874.295	"Bcubi 50x"	"20160706"	1	"0.15"	"34.8"	"0"	12
"287"	23	1	"07/14/16 14:08:00"	1468519584.56106	-36.518	-37.855	-23.04	7.519	0.082	7.529	0.082	48	68	3	866	" Mtot = 890.51. 0.5 mM BES"	"07/14/16"	"14:08:00"	7.611	7.601	67.579	1014	31	760.5625462578	7.59087252158274	0	-37.855	874.295	"Bcubi 50x"	"20160706"	1	"0.15"	"34.8"	"0"	12
"379"	25	1	"07/21/16 14:29:03"	1469125648.67655	-36.884	-38.145	-21.192	7.499	0.081	7.496	0.081	48	68	3	867	" Mtot = 890.51. 0.5 mM BES"	"07/21/16"	"14:29:03"	7.577	7.58	76.032	1019.79	35	764.905403400633	7.55648995850095	0	-38.145	874.295	"Bcubi 50x"	"20160706"	1	"0.15"	"34.8"	"0"	18
"432"	32	1	"08/01/16 17:33:21"	1470087104.08187	-37.217	-38.322	-22.526	7.402	0.08	7.399	0.08	48	68	3	871	" Mtot = 890.51. 0.5 mM BES"	"08/01/16"	"17:33:21"	7.479	7.482	94.791	1017.29	37	763.030249193883	7.61000847974405	0	-38.322	874.295	"Bcubi 50x"	"20160706"	1	"0.15"	"34.8"	"0"	27
"433"	33	1	"08/01/16 17:45:34"	1470087837.05508	-37.365	-38.817	-17.45	6.886	0.075	6.884	0.074	48	68	3	870	" Mtot = 890.51. 0.5 mM BES"	"08/01/16"	"17:45:34"	6.958	6.961	123.27	1017.29	37	763.030249193883	7.6012713861967	0	-38.817	874.295	"Bcubi 50x"	"20160706"	1	"0.15"	"34.8"	"0"	27
"434"	34	1	"08/01/16 17:57:03"	1470088526.83729	-37.641	-38.572	-16.467	7.058	0.076	7.053	0.076	48	68	3	870	" Mtot = 890.51. 0.5 mM BES"	"08/01/16"	"17:57:03"	7.129	7.134	126.249	1017.29	37	763.030249193883	7.6012713861967	0	-38.572	874.295	"Bcubi 50x"	"20160706"	1	"0.15"	"34.8"	"0"	27
