"term" "estimate" "std.error" "statistic" "p.value" "info" "sample.ID" "N"
"1" "(Intercept)" -16.0563396962137 0.032940974375495 -487.427588303462 4.30805255024466e-29 "lm.ppm" 62 15
"2" "data.oxi$time.days" -0.00285513091036738 0.00142540678849652 -2.0030288430006 0.0664787387779154 "lm.ppm" 62 15
"3" "(Intercept)" -16.1863560051627 0.0125437989509172 -1290.38707240913 1.46210864188528e-17 "lm.ppm.sel" 62 8
"4" "data.oxi.sel$time.days" 0.00113062634332404 0.000398926443190999 2.83417247119594 0.0297940304375128 "lm.ppm.sel" 62 8
"5" "(Intercept)" 0.184979290806362 0.142590081506933 1.29728020947493 0.217085108876969 "lm.delta.low" 62 15
"6" "data.oxi$time.days" -0.00900337728620068 0.00617009284046716 -1.45919640416934 0.168248837897458 "lm.delta.low" 62 15
"7" "(Intercept)" 0.052720016346996 0.0406388812239216 1.29728020947493 0.217085108876969 "lm.delta.high" 62 15
"8" "data.oxi$time.days" -0.00256600723052587 0.00175850709554523 -1.45919640416934 0.168248837897458 "lm.delta.high" 62 15
"9" "(Intercept)" -0.102482074777111 0.068362511064302 -1.49909757821383 0.184507474593584 "lm.delta.low.sel" 62 8
"10" "data.oxi.sel$time.days" -0.000753474263811767 0.00217411116785265 -0.346566576241806 0.740747645417518 "lm.delta.low.sel" 62 8
"11" "(Intercept)" -0.0292079001599111 0.0194836550898256 -1.49909757821383 0.184507474593584 "delta.high.sel" 62 8
"12" "data.oxi.sel$time.days" -0.000214743906369387 0.000619632477828898 -0.346566576241805 0.740747645417519 "delta.high.sel" 62 8
