"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean"	"Delta.13CO2.Mean"	"HR.12CH4.Mean"	"HR.13CH4.Mean"	"HP.12CH4.Mean"	"HP.13CH4.Mean"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"	"m.water"	"treatment"	"sample.date"	"sample.depth"	"V.hs.initial"	"sal"	"T.equil"	"hs.removed"
"17"	17	1	"07/07/16 13:09:00"	1467911244.13486	-36.575	-37.67	-9.456	3.702	0.04	3.705	0.04	36	52	5	842	" Mtot = 761.46."	"07/07/16"	"13:09:00"	3.745	3.742	168.361	1008.53	25	756.459708853431	4.452319086637	0	-37.67	745.11	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"	0
"19"	19	1	"07/07/16 13:29:03"	1467912447.63698	-37.681	-38.879	-8.187	3.3	0.036	3.301	0.036	36	52	5	842	" Mtot = 761.46. "	"07/07/16"	"13:29:03"	3.337	3.336	160.949	1008.53	25	756.459708853431	4.452319086637	0	-38.879	745.11	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"	0
"140"	10	1	"07/10/16 09:37:06"	1468157730.24004	-41.861	-41.156	-4.058	3.189	0.034	3.181	0.034	36	52	5	867	" Mtot = 761.46. 0.5 mM BES"	"07/10/16"	"09:37:06"	3.215	3.223	98.036	1009.33	27	757.059758199591	4.58088012529877	0	-41.156	745.11	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"	15
"141"	11	1	"07/10/16 09:47:57"	1468158380.98718	-41.803	-40.696	-4.897	3.208	0.035	3.199	0.035	36	52	5	867	" Mtot = 761.46. 0.5 mM BES"	"07/10/16"	"09:47:57"	3.234	3.243	112.742	1009.33	27	757.059758199591	4.58088012529877	0	-40.696	745.11	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"	15
"233"	11	1	"07/13/16 09:23:43"	1468416128.6047	-41.637	-40.931	-12.304	2.815	0.03	2.812	0.03	36	52	5	857	" Mtot = 761.46. 0.5 mM BES"	"07/13/16"	"09:23:43"	2.842	2.845	169.568	1015.91	30	761.995164071757	4.49871621452598	0	-40.931	745.11	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"	25
"234"	12	1	"07/13/16 09:33:47"	1468416732.08125	-40.312	-40.661	-15.218	2.822	0.031	2.824	0.031	36	52	5	857	" Mtot = 761.46. 0.5 mM BES"	"07/13/16"	"09:33:47"	2.855	2.853	176.356	1015.91	30	761.995164071757	4.49871621452598	0	-40.661	745.11	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"	25
"323"	11	1	"07/20/16 09:39:13"	1469021857.52642	-43.182	-42.42	-12.945	1.753	0.019	1.746	0.019	36	52	3	876	" Mtot = 761.46. 0.5 mM BES"	"07/20/16"	"09:39:13"	1.765	1.772	178.752	1021.91	34	766.495534167957	7.61909200989594	2.14529108471022	-44.5652910847102	745.11	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"	35
"324"	12	1	"07/20/16 09:49:40"	1469022484.31883	-43.454	-41.945	-12.93	1.751	0.019	1.743	0.019	36	52	5	876	" Mtot = 761.46. 0.5 mM BES"	"07/20/16"	"09:49:40"	1.762	1.77	179.993	1021.91	34	766.495534167957	4.57145520593756	2.14877846859633	-44.0937784685963	745.11	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"	35
"412"	12	1	"08/01/16 13:37:45"	1470072967.7108	-41.753	-40.889	-19.902	2.866	0.031	2.856	0.031	36	52	5	871	" Mtot = 761.46. 0.5 mM BES"	"08/01/16"	"13:37:45"	2.887	2.897	684.4	1017.29	37	763.030249193883	4.56600508784643	0	-40.889	745.11	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"	41
"503"	10	1	"08/11/16 09:59:19"	1470923863.71217	-41.471	-41.849	-9.88	2.975	0.032	2.967	0.032	36	52	5	881	" Mtot = 761.46. 0.5 mM BES"	"08/11/16"	"09:59:19"	2.999	3.007	1010.646	1017.76	41	763.382778184752	4.6162948663575	0	-41.849	745.11	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"	51
"504"	11	1	"08/11/16 10:10:09"	1470924511.98249	-41.717	-41.347	-9.8	2.99	0.032	2.98	0.032	36	52	5	881	" Mtot = 761.46. 0.5 mM BES. "	"08/11/16"	"10:10:09"	3.012	3.022	1021.28	1017.76	41	763.382778184752	4.6162948663575	0	-41.347	745.11	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"	51
