"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean"	"Delta.13CO2.Mean"	"HR.12CH4.Mean"	"HR.13CH4.Mean"	"HP.12CH4.Mean"	"HP.13CH4.Mean"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"	"m.water"	"treatment"	"sample.date"	"sample.depth"	"V.hs.initial"	"sal"	"T.equil"	"hs.removed"
"14"	14	1	"07/07/16 12:36:30"	1467909294.758	-40.231	-39.479	-7.809	2.865	0.031	2.857	0.031	15	51	5	841	" Mtot = 816.43."	"07/07/16"	"12:36:30"	2.888	2.896	164.197	1008.53	25	756.459708853431	4.44703129674788	0	-39.479	800.25	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"	0
"15"	15	1	"07/07/16 12:47:43"	1467909967.31598	-40.597	-39.339	-7.877	3.09	0.033	3.081	0.033	15	51	5	842	" Mtot = 816.43."	"07/07/16"	"12:47:43"	3.114	3.123	181.655	1008.53	25	756.459708853431	4.452319086637	0	-39.339	800.25	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"	0
"16"	16	1	"07/07/16 12:57:59"	1467910583.06264	-40.291	-39.601	-8.354	2.855	0.031	2.849	0.031	15	51	5	842	" Mtot = 816.43."	"07/07/16"	"12:57:59"	2.88	2.886	161.017	1008.53	25	756.459708853431	4.452319086637	0	-39.601	800.25	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"	0
"138"	8	1	"07/10/16 09:13:00"	1468156284.4813	-42.061	-40.793	-4.237	2.89	0.031	2.882	0.031	15	51	5	868	" Mtot = 816.43."	"07/10/16"	"09:13:00"	2.913	2.921	97.284	1009.33	27	757.059758199591	4.58616372405921	0	-40.793	800.25	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"	15
"139"	9	1	"07/10/16 09:23:12"	1468156896.77561	-42.363	-41.08	-3.923	2.959	0.032	2.951	0.032	15	51	5	867	" Mtot = 816.43."	"07/10/16"	"09:23:12"	2.983	2.991	102.099	1009.33	27	757.059758199591	4.58088012529877	0	-41.08	800.25	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"	15
"231"	9	1	"07/13/16 09:01:28"	1468414792.02491	-42.48	-41.694	-11.95	2.552	0.028	2.548	0.027	15	51	5	857	" Mtot = 816.43."	"07/13/16"	"09:01:28"	2.575	2.58	166.577	1015.91	30	761.995164071757	4.49871621452598	0	-41.694	800.25	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"	25
"232"	10	1	"07/13/16 09:11:17"	1468415382.25601	-42.711	-41.288	-12.146	2.531	0.027	2.526	0.027	15	51	5	857	" Mtot = 816.43."	"07/13/16"	"09:11:17"	2.553	2.558	164.28	1015.91	30	761.995164071757	4.49871621452598	0	-41.288	800.25	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"	25
"321"	9	1	"07/20/16 09:18:47"	1469020630.87263	-43.42	-42.09	-14.874	1.564	0.017	1.557	0.017	15	51	3	876	" Mtot = 816.43."	"07/20/16"	"09:18:47"	1.574	1.581	165.376	1021.91	34	766.495534167957	7.61909200989594	2.38007869250982	-44.4700786925098	800.25	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"	35
"322"	10	1	"07/20/16 09:28:59"	1469021243.26048	-44.371	-42.748	-14.496	1.53	0.016	1.523	0.016	15	51	3	876	" Mtot = 816.43."	"07/20/16"	"09:28:59"	1.539	1.546	143.345	1021.91	34	766.495534167957	7.61909200989594	2.42617764754368	-45.1741776475437	800.25	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"	35
"410"	10	1	"08/01/16 13:13:33"	1470071516.99806	-43.35	-41.733	-80.39	2.527	0.027	2.515	0.027	15	51	5	872	" Mtot = 816.43."	"08/01/16"	"13:13:33"	2.542	2.554	424.437	1017.29	37	763.030249193883	4.57124734397484	0	-41.733	800.25	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"	41
