"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean"	"Delta.13CO2.Mean"	"HR.12CH4.Mean"	"HR.13CH4.Mean"	"HP.12CH4.Mean"	"HP.13CH4.Mean"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"	"m.water"	"treatment"	"sample.date"	"sample.depth"	"V.hs.initial"	"sal"	"T.equil"	"hs.removed"
"81"	7	1	"07/08/16 09:21:52"	1467984016.25171	-36.833	-37.887	-8.095	4.033	0.044	4.032	0.044	42	62	5	866	" Mtot = 916.04."	"07/08/16"	"09:21:52"	4.076	4.077	98.626	1008.41	26	756.369701451507	4.57977096828764	0	-37.887	899.89	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	0
"82"	8	1	"07/08/16 09:33:00"	1467984684.20234	-36.39	-37.685	-7.748	4.023	0.044	4.025	0.044	42	62	5	866	" Mtot = 916.04."	"07/08/16"	"09:33:00"	4.069	4.067	90.238	1008.41	26	756.369701451507	4.57977096828764	0	-37.685	899.89	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	0
"182"	6	1	"07/11/16 09:54:53"	1468245197.69966	-6.091	-37.317	-16.524	3.824	0.043	3.906	0.042	42	62	5	874	" Mtot = 916.04. Saw a lot of water in syringe. Switching to 25 ml syringe. 10 ml is really misbehavin"	"07/11/16"	"09:54:53"	3.948	3.867	13747.612	1014.9	28	761.23760177223	4.59252143070836	0	-37.317	899.89	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	10
"183"	7	1	"07/11/16 10:05:18"	1468245822.09202	-21.369	-40.494	-37.246	3.392	0.038	3.478	0.038	42	62	5	874	" Mtot = 916.04. Used 25 ml syringe."	"07/11/16"	"10:05:18"	3.516	3.43	672.407	1014.9	28	761.23760177223	4.59252143070836	0	-40.494	899.89	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	10
"184"	8	1	"07/11/16 10:15:51"	1468246455.68952	5.057	-49.446	-861.407	3.531	0.041	3.775	0.041	42	62	5	873	" Mtot = 916.04. Used 25 ml syringe."	"07/11/16"	"10:15:51"	3.816	3.572	805.897	1014.9	28	761.23760177223	4.58726682952906	0	-49.446	899.89	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	10
"271"	7	1	"07/14/16 10:58:25"	1468508210.2665	-36.033	-37.688	-14.742	3.12	0.034	3.126	0.034	42	62	5	870	" Mtot = 916.04."	"07/14/16"	"10:58:25"	3.16	3.154	116.129	1014	31	760.5625462578	4.57556057305565	0	-37.688	899.89	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	25
"272"	8	1	"07/14/16 11:08:33"	1468508817.62656	-35.87	-37.545	-15.013	3.119	0.034	3.127	0.034	42	62	5	870	" Mtot = 916.04."	"07/14/16"	"11:08:33"	3.161	3.153	120.257	1014	31	760.5625462578	4.57556057305565	0	-37.545	899.89	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	25
"362"	8	1	"07/21/16 09:47:07"	1469108731.72312	-36.983	-38.703	-15.521	3.179	0.034	3.178	0.034	42	62	5	868	" Mtot = 916.04."	"07/21/16"	"09:47:07"	3.212	3.213	124.9	1019.79	35	764.905403400633	4.53912337991614	0	-38.703	899.89	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	35
"363"	9	1	"07/21/16 09:56:50"	1469109315.11337	-36.553	-38.184	-15.538	3.177	0.034	3.176	0.034	42	62	5	868	" Mtot = 916.04."	"07/21/16"	"09:56:50"	3.21	3.211	127.957	1019.79	35	764.905403400633	4.53912337991614	0	-38.184	899.89	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	35
"416"	16	1	"08/01/16 14:23:29"	1470075712.91795	-37.097	-38.094	-20.217	3.098	0.034	3.096	0.033	42	62	5	870	" Mtot = 916.04."	"08/01/16"	"14:23:29"	3.129	3.132	137.042	1017.29	37	763.030249193883	4.56076283171802	0	-38.094	899.89	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	45
