"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean"	"Delta.13CO2.Mean"	"HR.12CH4.Mean"	"HR.13CH4.Mean"	"HP.12CH4.Mean"	"HP.13CH4.Mean"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"	"m.water"	"treatment"	"sample.date"	"sample.depth"	"V.hs.initial"	"sal"	"T.equil"	"hs.removed"
"117"	43	1	"07/08/16 17:42:01"	1468014024.93803	-22.543	9999999	-90.348	85.748	0.942	66.652	9999999	19	70	1	863	" Mtot = 908.21."	"07/08/16"	"17:42:01"	10000065.652	86.69	16.55	1008.41	26	756.369701451507	22.8195285544586	0	9999999	892.11	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	0
"118"	44	1	"07/08/16 17:53:24"	1468014708.56386	-22.504	9999999	-94.753	84.389	0.928	65.062	9999999	19	70	1	862	" Mtot = 908.21."	"07/08/16"	"17:53:24"	10000064.062	85.317	16.841	1008.41	26	756.369701451507	22.7930864587988	0	9999999	892.11	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	0
"210"	34	1	"07/11/16 15:33:52"	1468265537.07014	-22.693	9999999	-143.942	77.984	0.858	62.422	9999999	19	70	1	867	" Mtot = 908.21."	"07/11/16"	"15:33:52"	10000061.422	78.842	26.842	1014.9	28	761.23760177223	22.7786961122663	0	9999999	892.11	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	2.2
"211"	35	1	"07/11/16 15:44:12"	1468266156.44436	-22.67	9999999	-143.131	77.363	0.852	53.392	9999999	19	70	1	867	" Mtot = 908.21."	"07/11/16"	"15:44:12"	10000052.392	78.215	26.977	1014.9	28	761.23760177223	22.7786961122663	0	9999999	892.11	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	2.2
"298"	34	1	"07/14/16 16:43:36"	1468528920.6099	-22.725	9999999	-36.873	73.02	0.803	52.75	9999999	19	70	1	865	" Mtot = 908.21. tried to fasten the valve on the syringe and accidentally loosened it a bit."	"07/14/16"	"16:43:36"	10000051.75	73.823	24.474	1014	31	760.5625462578	22.7463212396157	0	9999999	892.11	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	4.4
"299"	35	1	"07/14/16 16:53:55"	1468529541.04545	-22.646	9999999	-35.824	74.029	0.815	59.618	9999999	19	70	1	865	" Mtot = 908.21."	"07/14/16"	"16:53:55"	10000058.618	74.844	26.091	1014	31	760.5625462578	22.7463212396157	0	9999999	892.11	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	4.4
"390"	36	1	"07/21/16 16:28:38"	1469132823.31676	-22.67	9999999	-55.162	73.676	0.809	57.006	9999999	19	70	1	866	" Mtot = 908.21."	"07/21/16"	"16:28:38"	10000056.006	74.485	26.163	1019.79	35	764.905403400633	22.643322851425	0	9999999	892.11	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	6.6
"391"	37	1	"07/21/16 16:38:45"	1469133429.27403	-22.631	9999999	-55.656	73.657	0.809	58.257	9999999	19	70	1	866	" Mtot = 908.21."	"07/21/16"	"16:38:45"	10000057.257	74.466	27.067	1019.79	35	764.905403400633	22.643322851425	0	9999999	892.11	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	6.6
"459"	12	1	"08/02/16 09:41:20"	1470145184.52201	-22.531	9999999	-36.936	72.314	0.795	61.621	9999999	19	70	1	872	" Mtot = 908.21."	"08/02/16"	"09:41:20"	10000060.621	73.109	35.599	1017.88	38	763.472785586676	22.8429884198146	0	9999999	892.11	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	8.8
"460"	13	1	"08/02/16 09:53:15"	1470145900.02866	-22.57	9999999	-36.544	70.891	0.779	60.543	9999999	19	70	1	871	" Mtot = 908.21."	"08/02/16"	"09:53:15"	10000059.543	71.67	34.981	1017.88	38	763.472785586676	22.8167923321772	0	9999999	892.11	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	8.8
"542"	49	1	"08/11/16 17:32:04"	1470951028.6311	-21.586	9999999	-56.547	69.432	0.764	54.769	9999999	19	70	1	874	" Mtot = 908.21."	"08/11/16"	"17:32:04"	10000053.769	70.196	34.926	1017.76	41	763.382778184752	22.8980800975962	0	9999999	892.11	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	11
"543"	50	1	"08/11/16 17:41:57"	1470951620.52866	-21.596	9999999	-54.826	68.176	0.75	53.133	9999999	19	70	1	874	" Mtot = 908.21."	"08/11/16"	"17:41:57"	10000052.133	68.926	32.702	1017.76	41	763.382778184752	22.8980800975962	0	9999999	892.11	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	11
"602"	47	1	"08/22/16 17:01:52"	1471899616.05477	-19.682	9999999	-48.77	50.002	0.551	43.56	9999999	19	70	1	871	" Mtot = 908.21."	"08/22/16"	"17:01:52"	10000042.56	50.553	34.45	1010.73	42	758.109844555371	22.9782004878419	0	9999999	892.11	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	13.2
"603"	48	1	"08/22/16 17:11:45"	1471900209.54946	-19.646	9999999	-52.605	50.589	0.558	44.921	9999999	19	70	1	870	" Mtot = 908.21."	"08/22/16"	"17:11:45"	10000043.921	51.147	32.89	1010.73	42	758.109844555371	22.951819086593	0	9999999	892.11	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	13.2
