"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean"	"Delta.13CO2.Mean"	"HR.12CH4.Mean"	"HR.13CH4.Mean"	"HP.12CH4.Mean"	"HP.13CH4.Mean"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"	"m.water"	"treatment"	"sample.date"	"sample.depth"	"V.hs.initial"	"sal"	"T.equil"	"hs.removed"
"50"	4	1	"07/07/16 19:19:34"	1467933478.82599	-36.986	-37.774	-9.15	10.875	0.118	10.87	0.118	14	59	3	836	" Mtot = 884.49."	"07/07/16"	"19:19:34"	10.988	10.993	65.907	1008.53	25	756.459708853431	7.36765391217049	0	-37.774	868.39	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	0
"51"	5	1	"07/07/16 19:29:42"	1467934086.12828	-36.726	-37.829	-8.543	10.995	0.119	10.994	0.119	14	59	3	836	" Mtot = 884.49."	"07/07/16"	"19:29:42"	11.113	11.114	64.385	1008.53	25	756.459708853431	7.36765391217049	0	-37.829	868.39	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	0
"148"	18	1	"07/10/16 11:05:39"	1468163043.16387	-37.764	-38.182	-8.682	10.28	0.111	10.269	0.111	14	59	3	866	" Mtot = 884.49."	"07/10/16"	"11:05:39"	10.38	10.391	85.729	1009.33	27	757.059758199591	7.62599421089722	0	-38.182	868.39	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	6
"149"	19	1	"07/10/16 11:15:43"	1468163648.54639	-37.825	-38.233	-9.222	10.295	0.111	10.285	0.111	14	59	3	866	" Mtot = 884.49."	"07/10/16"	"11:15:43"	10.396	10.406	85.914	1009.33	27	757.059758199591	7.62599421089722	0	-38.233	868.39	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	6
"245"	23	1	"07/13/16 11:28:45"	1468423629.28621	-37.91	-38.595	-15.347	9.24	0.1	9.234	0.1	14	59	3	856	" Mtot = 884.49."	"07/13/16"	"11:28:45"	9.334	9.34	131.456	1015.91	30	761.995164071757	7.48911139563252	0	-38.595	868.39	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	12
"246"	24	1	"07/13/16 11:39:24"	1468424268.33932	-38.047	-38.787	-15.449	9.133	0.099	9.127	0.099	14	59	3	856	" Mtot = 884.49."	"07/13/16"	"11:39:24"	9.226	9.232	132.514	1015.91	30	761.995164071757	7.48911139563252	0	-38.787	868.39	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	12
"336"	24	1	"07/20/16 11:58:51"	1469030235.77538	-38.263	-38.931	-11.01	9.462	0.102	9.451	0.102	14	59	3	875	" Mtot = 884.49."	"07/20/16"	"11:58:51"	9.553	9.564	241.892	1021.91	34	766.495534167957	7.61039441627734	0	-38.931	868.39	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	18
"337"	25	1	"07/20/16 12:09:01"	1469030845.36716	-37.92	-38.881	-10.772	9.383	0.101	9.375	0.101	14	59	3	875	" Mtot = 884.49."	"07/20/16"	"12:09:01"	9.476	9.484	242.398	1021.91	34	766.495534167957	7.61039441627734	0	-38.881	868.39	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	18
"441"	41	1	"08/01/16 19:10:11"	1470092914.57056	-37.872	-38.394	-8.945	9.282	0.1	9.273	0.1	14	59	3	868	" Mtot = 884.49."	"08/01/16"	"19:10:11"	9.373	9.382	432.189	1017.29	37	763.030249193883	7.58379719910199	0	-38.394	868.39	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	24
"442"	42	1	"08/01/16 19:19:56"	1470093500.33205	-38.212	-38.71	-9.079	9.337	0.101	9.327	0.101	14	59	3	868	" Mtot = 884.49."	"08/01/16"	"19:19:56"	9.428	9.438	446.767	1017.29	37	763.030249193883	7.58379719910199	0	-38.71	868.39	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	24
