"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean"	"Delta.13CO2.Mean"	"HR.12CH4.Mean"	"HR.13CH4.Mean"	"HP.12CH4.Mean"	"HP.13CH4.Mean"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"	"m.water"	"treatment"	"sample.date"	"sample.depth"	"V.hs.initial"	"sal"	"T.equil"	"hs.removed"
"97"	23	1	"07/08/16 13:59:48"	1468000693.26723	-36.246	-37.613	-13.625	9.286	0.101	9.287	0.101	44	66	3	864	" Mtot = 961.73."	"07/08/16"	"13:59:48"	9.388	9.387	42.648	1008.41	26	756.369701451507	7.61532355003949	0	-37.613	945.63	"Bcubi 50x"	"20160706"	1	"0.15"	"34.8"	"0"	0
"98"	24	1	"07/08/16 14:09:35"	1468001279.92224	-36.252	-37.634	-15.927	8.88	0.096	8.882	0.096	44	66	3	864	" Mtot = 961.73."	"07/08/16"	"14:09:35"	8.978	8.976	38.25	1008.41	26	756.369701451507	7.61532355003949	0	-37.634	945.63	"Bcubi 50x"	"20160706"	1	"0.15"	"34.8"	"0"	0
"99"	25	1	"07/08/16 14:20:22"	1468001926.37481	-36.085	-37.472	-14.535	8.762	0.095	8.764	0.095	44	66	3	864	" Mtot = 961.73."	"07/08/16"	"14:20:22"	8.859	8.857	36.085	1008.41	26	756.369701451507	7.61532355003949	0	-37.472	945.63	"Bcubi 50x"	"20160706"	1	"0.15"	"34.8"	"0"	0
"194"	18	1	"07/11/16 12:18:29"	1468253814.08037	-35.638	-38.325	-132.114	8.589	0.094	8.615	0.093	44	66	3	870.5	" Mtot = 961.73."	"07/11/16"	"12:18:29"	8.708	8.683	66.52	1014.9	28	761.23760177223	7.62355054430134	0	-38.325	945.63	"Bcubi 50x"	"20160706"	1	"0.15"	"34.8"	"0"	9
"195"	19	1	"07/11/16 12:28:37"	1468254422.62241	-34.64	-38.678	-107.672	7.489	0.082	7.526	0.082	44	66	3	870.5	" Mtot = 961.73."	"07/11/16"	"12:28:37"	7.608	7.571	67.466	1014.9	28	761.23760177223	7.62355054430134	0	-38.678	945.63	"Bcubi 50x"	"20160706"	1	"0.15"	"34.8"	"0"	9
"196"	20	1	"07/11/16 12:40:09"	1468255114.14914	-34.388	-39.111	-88.1	7.491	0.082	7.533	0.082	44	66	3	870.5	" Mtot = 961.73."	"07/11/16"	"12:40:09"	7.615	7.573	74.496	1014.9	28	761.23760177223	7.62355054430134	0	-39.111	945.63	"Bcubi 50x"	"20160706"	1	"0.15"	"34.8"	"0"	9
"282"	18	1	"07/14/16 13:08:36"	1468516021.0538	-36.642	-37.698	-22.012	7.099	0.077	7.101	0.077	44	66	3	867	" Mtot = 961.73."	"07/14/16"	"13:08:36"	7.178	7.176	59.639	1014	31	760.5625462578	7.59963796329357	0	-37.698	945.63	"Bcubi 50x"	"20160706"	1	"0.15"	"34.8"	"0"	18
"283"	19	1	"07/14/16 13:19:06"	1468516651.03979	-36.512	-37.709	-21.919	7.129	0.077	7.132	0.077	44	66	3	867	" Mtot = 961.73."	"07/14/16"	"13:19:06"	7.209	7.206	65.193	1014	31	760.5625462578	7.59963796329357	0	-37.709	945.63	"Bcubi 50x"	"20160706"	1	"0.15"	"34.8"	"0"	18
"375"	21	1	"07/21/16 13:48:31"	1469123214.96257	-36.646	-38.049	-21.078	7.257	0.079	7.254	0.078	44	66	3	868	" Mtot = 961.73."	"07/21/16"	"13:48:31"	7.332	7.336	76.444	1019.79	35	764.905403400633	7.56520563319357	0	-38.049	945.63	"Bcubi 50x"	"20160706"	1	"0.15"	"34.8"	"0"	24
"376"	22	1	"07/21/16 13:58:37"	1469123821.06269	-36.776	-38.274	-22.554	7.088	0.077	7.087	0.077	44	66	3	868	" Mtot = 961.73."	"07/21/16"	"13:58:37"	7.164	7.165	76.03	1019.79	35	764.905403400633	7.56520563319357	0	-38.274	945.63	"Bcubi 50x"	"20160706"	1	"0.15"	"34.8"	"0"	24
