"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean"	"Delta.13CO2.Mean"	"HR.12CH4.Mean"	"HR.13CH4.Mean"	"HP.12CH4.Mean"	"HP.13CH4.Mean"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"	"m.water"	"treatment"	"sample.date"	"sample.depth"	"V.hs.initial"	"sal"	"T.equil"	"hs.removed"
"86"	12	1	"07/08/16 10:15:10"	1467987214.99785	-36.157	-37.421	-9.685	3.797	0.041	3.798	0.041	49	64	5	865	" Mtot = 834.15."	"07/08/16"	"10:15:10"	3.839	3.838	96.67	1008.41	26	756.369701451507	4.57448254915567	0	-37.421	817.935	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	0
"87"	13	1	"07/08/16 10:25:30"	1467987834.67531	-36.137	-37.838	-9.203	3.732	0.04	3.735	0.04	49	64	5	865	" Mtot = 834.15."	"07/08/16"	"10:25:30"	3.775	3.772	99.852	1008.41	26	756.369701451507	4.57448254915567	0	-37.838	817.935	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	0
"188"	12	1	"07/11/16 11:00:44"	1468249148.72863	-0.414	-53.257	-185.882	3.172	0.036	3.377	0.036	49	64	5	872	" Mtot = 834.15."	"07/11/16"	"11:00:44"	3.413	3.208	115.367	1014.9	28	761.23760177223	4.58201222834976	0	-53.257	817.935	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	10
"189"	13	1	"07/11/16 11:12:47"	1468249871.79759	-5.23	-53.213	-105.262	3.179	0.036	3.368	0.036	49	64	5	872	" Mtot = 834.15."	"07/11/16"	"11:12:47"	3.404	3.215	124.87	1014.9	28	761.23760177223	4.58201222834976	0	-53.213	817.935	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	10
"275"	11	1	"07/14/16 11:41:02"	1468510766.48478	-34.686	-37.584	-19.494	3.031	0.033	3.047	0.033	49	64	5	867	" Mtot = 834.15. 0.5 mM BES"	"07/14/16"	"11:41:02"	3.08	3.064	120.146	1014	31	760.5625462578	4.55978277797614	0	-37.584	817.935	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	20
"276"	12	1	"07/14/16 11:53:09"	1468511494.29046	-34.998	-37.936	-21.486	3.023	0.033	3.039	0.033	49	64	5	867	" Mtot = 834.15. 0.5 mM BES"	"07/14/16"	"11:53:09"	3.072	3.056	123.739	1014	31	760.5625462578	4.55978277797614	0	-37.936	817.935	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	20
"366"	12	1	"07/21/16 10:27:25"	1469111149.17768	-37.6	-38.728	-15.527	3.14	0.034	3.138	0.034	49	64	5	868	" Mtot = 834.15. 0.5 mM BES"	"07/21/16"	"10:27:25"	3.172	3.174	127.515	1019.79	35	764.905403400633	4.53912337991614	0	-38.728	817.935	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	30
"367"	13	1	"07/21/16 10:37:48"	1469111772.70312	-37.263	-38.314	-15.768	3.16	0.034	3.158	0.034	49	64	5	868	" Mtot = 834.15. 0.5 mM BES"	"07/21/16"	"10:37:48"	3.192	3.194	135.158	1019.79	35	764.905403400633	4.53912337991614	0	-38.314	817.935	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	30
"420"	20	1	"08/01/16 15:10:50"	1470078553.22551	-38.09	-39.506	-17.432	3.033	0.033	3.032	0.033	49	64	5	870	" Mtot = 834.15. 0.5 mM BES"	"08/01/16"	"15:10:50"	3.065	3.066	141.001	1017.29	37	763.030249193883	4.56076283171802	0	-39.506	817.935	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	40
"421"	21	1	"08/01/16 15:20:58"	1470079162.68676	-38.151	-39.166	-16.893	3.047	0.033	3.045	0.033	49	64	5	870	" Mtot = 834.15. 0.5 mM BES"	"08/01/16"	"15:20:58"	3.078	3.08	142.429	1017.29	37	763.030249193883	4.56076283171802	0	-39.166	817.935	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	40
"519"	26	1	"08/11/16 13:02:25"	1470934847.98136	-37.034	-38.854	-15.871	3.094	0.034	3.095	0.033	49	64	5	879	" Mtot = 834.15. 0.5 mM BES"	"08/11/16"	"13:02:25"	3.128	3.128	176.715	1017.76	41	763.382778184752	4.60581519583229	0	-38.854	817.935	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	50
"520"	27	1	"08/11/16 13:13:33"	1470935516.72199	-37.177	-38.842	-15.503	3.106	0.034	3.107	0.034	49	64	5	879	" Mtot = 834.15. 0.5 mM BES"	"08/11/16"	"13:13:33"	3.141	3.14	192.542	1017.76	41	763.382778184752	4.60581519583229	0	-38.842	817.935	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	50
"579"	24	1	"08/22/16 12:33:05"	1471883488.30219	-37.006	-37.636	-15.719	3.134	0.034	3.138	0.034	49	64	5	873	" Mtot = 834.15. 0.5 mM BES"	"08/22/16"	"12:33:05"	3.172	3.168	190.67	1010.73	42	758.109844555371	4.60619265806797	0	-37.636	817.935	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	60
"580"	25	1	"08/22/16 12:45:22"	1471884224.52042	-37.269	-38.489	-15.257	3.077	0.033	3.082	0.033	49	64	5	873	" Mtot = 834.15. 0.5 mM BES"	"08/22/16"	"12:45:22"	3.115	3.11	201.455	1010.73	42	758.109844555371	4.60619265806797	0	-38.489	817.935	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	60
