"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean"	"Delta.13CO2.Mean"	"HR.12CH4.Mean"	"HR.13CH4.Mean"	"HP.12CH4.Mean"	"HP.13CH4.Mean"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"	"m.water"	"treatment"	"sample.date"	"sample.depth"	"V.hs.initial"	"sal"	"T.equil"	"hs.removed"
"47"	1	1	"07/07/16 18:44:04"	1467931347.77775	-36.806	-37.652	-7.138	9.421	0.102	9.418	0.102	30	58	3	836	" Mtot = 904.67."	"07/07/16"	"18:44:04"	9.52	9.523	39.504	1008.53	25	756.459708853431	7.36765391217049	0	-37.652	888.41	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	0
"48"	2	1	"07/07/16 18:55:32"	1467932036.50258	-36.214	-37.372	-12.451	8.218	0.089	8.22	0.089	30	58	3	836	" Mtot = 904.67."	"07/07/16"	"18:55:32"	8.309	8.307	22.284	1008.53	25	756.459708853431	7.36765391217049	0	-37.372	888.41	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	0
"49"	3	1	"07/07/16 19:07:16"	1467932740.98013	-36.726	-37.84	-8.603	8.694	0.094	8.694	0.094	30	58	3	836	" Mtot = 904.67."	"07/07/16"	"19:07:16"	8.788	8.788	50.022	1008.53	25	756.459708853431	7.36765391217049	0	-37.84	888.41	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	0
"145"	15	1	"07/10/16 10:32:04"	1468161028.76493	-37.789	-38.41	-8.351	8.304	0.09	8.297	0.09	30	58	3	867	" Mtot = 904.63."	"07/10/16"	"10:32:04"	8.387	8.394	68.313	1009.33	27	757.059758199591	7.63480020883129	0	-38.41	888.41	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	9
"146"	16	1	"07/10/16 10:41:59"	1468161624.34669	-37.713	-38.21	-6.218	13.213	0.143	13.201	0.143	30	58	5	866	" Mtot = 904.63. 5mL injection volume!"	"07/10/16"	"10:41:59"	13.344	13.356	114.2	1009.33	27	757.059758199591	4.57559652653833	0	-38.21	888.41	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	9
"147"	17	1	"07/10/16 10:52:57"	1468162282.42594	-37.995	-38.64	-3.383	9.037	0.098	9.031	0.098	30	58	3	865	" Mtot = 904.63."	"07/10/16"	"10:52:57"	9.129	9.135	71.845	1009.33	27	757.059758199591	7.61718821296316	0	-38.64	888.41	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	9
"243"	21	1	"07/13/16 11:08:10"	1468422394.00017	-37.788	-38.603	-21.361	7.627	0.083	7.625	0.083	30	58	3	856	" Mtot = 904.63."	"07/13/16"	"11:08:10"	7.708	7.71	88.08	1015.91	30	761.995164071757	7.48911139563252	0	-38.603	888.41	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	20
"244"	22	1	"07/13/16 11:18:03"	1468422988.3312	-38.111	-38.774	-19.93	7.436	0.081	7.432	0.08	30	58	3	856	" Mtot = 904.63."	"07/13/16"	"11:18:03"	7.512	7.517	86.597	1015.91	30	761.995164071757	7.48911139563252	0	-38.774	888.41	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	20
"334"	22	1	"07/20/16 11:38:35"	1469029020.78167	-38.344	-38.975	-14.044	7.682	0.083	7.673	0.083	30	58	3	875	" Mtot = 904.63."	"07/20/16"	"11:38:35"	7.756	7.765	143.993	1021.91	34	766.495534167957	7.61039441627734	0	-38.975	888.41	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	26
"335"	23	1	"07/20/16 11:48:36"	1469029620.67229	-38.149	-38.928	-13.626	7.68	0.083	7.673	0.083	30	58	3	875	" Mtot = 904.63."	"07/20/16"	"11:48:36"	7.756	7.763	148.675	1021.91	34	766.495534167957	7.61039441627734	0	-38.928	888.41	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	26
"439"	39	1	"08/01/16 18:47:49"	1470091572.46991	-37.611	-38.268	-11.327	7.677	0.083	7.67	0.083	30	58	3	869	" Mtot = 904.63."	"08/01/16"	"18:47:49"	7.753	7.76	245.219	1017.29	37	763.030249193883	7.59253429264935	0	-38.268	888.41	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	32
"440"	40	1	"08/01/16 18:59:15"	1470092259.597	-37.829	-38.21	-10.982	7.252	0.078	7.244	0.078	30	58	3	869	" Mtot = 904.63."	"08/01/16"	"18:59:15"	7.322	7.33	256.28	1017.29	37	763.030249193883	7.59253429264935	0	-38.21	888.41	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	32
"509"	16	1	"08/11/16 11:12:43"	1470928267.63188	-38.356	-38.594	-11.373	7.771	0.084	7.76	0.084	30	58	3	881	" Mtot = 904.63."	"08/11/16"	"11:12:43"	7.844	7.855	361.668	1017.76	41	763.382778184752	7.69382477726251	0	-38.594	888.41	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	38
"510"	17	1	"08/11/16 11:22:47"	1470928871.64277	-38.521	-38.659	-11.606	7.787	0.084	7.775	0.084	30	58	3	880	" Mtot = 904.63."	"08/11/16"	"11:22:47"	7.859	7.871	372.641	1017.76	41	763.382778184752	7.68509171849149	0	-38.659	888.41	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	38
"569"	14	1	"08/22/16 10:41:48"	1471876810.60842	-39.232	-38.61	-12.591	7.803	0.084	7.785	0.084	30	58	3	874	" Mtot = 904.63."	"08/22/16"	"10:41:48"	7.869	7.887	446.64	1010.73	42	758.109844555371	7.68578156386294	0	-38.61	888.41	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	44
"570"	15	1	"08/22/16 10:51:43"	1471877406.93097	-39.142	-38.672	-12.385	7.918	0.086	7.901	0.085	30	58	3	873	" Mtot = 904.63."	"08/22/16"	"10:51:43"	7.986	8.004	460.668	1010.73	42	758.109844555371	7.67698776344662	0	-38.672	888.41	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	44
