"term" "estimate" "std.error" "statistic" "p.value" "info" "sample.ID" "N"
"1" "(Intercept)" -11.2938135535995 0.121162835861224 -93.211862146698 2.70441825485452e-17 "lm.ppm" 57 13
"2" "data.oxi$time.days" -0.0974126608708 0.00763868867201249 -12.7525371242988 6.21048852647349e-08 "lm.ppm" 57 13
"3" "(Intercept)" -10.1324884524379 0.194956905647131 -51.972965096079 8.20295204792243e-07 "lm.ppm.sel" 57 6
"4" "data.oxi.sel$time.days" -0.146213454687825 0.00846068107504511 -17.2815230110828 6.57946061580693e-05 "lm.ppm.sel" 57 6
"5" "(Intercept)" 1.88393868421757 1.00596364830479 1.87277014173655 0.087902472962159 "lm.delta.low" 57 13
"6" "data.oxi$time.days" -0.527395204598852 0.0634207929365683 -8.31580906164857 4.5119949104509e-06 "lm.delta.low" 57 13
"7" "(Intercept)" 0.536931879215923 0.286704634621121 1.87277014173655 0.087902472962159 "lm.delta.high" 57 13
"8" "data.oxi$time.days" -0.150310251956175 0.0180752408865887 -8.31580906164857 4.51199491045088e-06 "lm.delta.high" 57 13
"9" "(Intercept)" 11.2392317105114 2.41710686332571 4.64986959453142 0.00966239715825242 "lm.delta.low.sel" 57 6
"10" "data.oxi.sel$time.days" -0.920108831280657 0.10489687568142 -8.77155611455097 0.00093136713021489 "lm.delta.low.sel" 57 6
"11" "(Intercept)" 3.20323684301562 0.688887457571467 4.64986959453142 0.00966239715825241 "delta.high.sel" 57 6
"12" "data.oxi.sel$time.days" -0.26223558547919 0.0298961304077132 -8.77155611455098 0.000931367130214888 "delta.high.sel" 57 6
