"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean"	"Delta.13CO2.Mean"	"HR.12CH4.Mean"	"HR.13CH4.Mean"	"HP.12CH4.Mean"	"HP.13CH4.Mean"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"	"m.water"	"treatment"	"sample.date"	"sample.depth"	"V.hs.initial"	"sal"	"T.equil"	"hs.removed"
"83"	9	1	"07/08/16 09:43:14"	1467985299.35943	-35.374	-37.17	-9.684	4.054	0.044	4.059	0.044	43	63	5	866	" Mtot = 825.98."	"07/08/16"	"09:43:14"	4.103	4.098	99.046	1008.41	26	756.369701451507	4.57977096828764	0	-37.17	809.82	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	0
"84"	10	1	"07/08/16 09:53:25"	1467985909.97796	-35.578	-37.225	-9.021	3.68	0.04	3.683	0.04	43	63	5	866	" Mtot = 825.98. "	"07/08/16"	"09:53:25"	3.723	3.72	96.114	1008.41	26	756.369701451507	4.57977096828764	0	-37.225	809.82	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	0
"85"	11	1	"07/08/16 10:03:44"	1467986528.85184	-35.937	-37.836	-9.783	3.693	0.04	3.697	0.04	43	63	5	865	" Mtot = 825.98."	"07/08/16"	"10:03:44"	3.737	3.733	105.001	1008.41	26	756.369701451507	4.57448254915567	0	-37.836	809.82	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	0
"185"	9	1	"07/11/16 10:26:10"	1468247075.73568	-8.406	-47.554	-639.46	4.444	0.05	4.668	0.051	43	63	5	873	" Mtot = 825.98."	"07/11/16"	"10:26:10"	4.719	4.494	127.603	1014.9	28	761.23760177223	4.58726682952906	0	-47.554	809.82	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	15
"186"	10	1	"07/11/16 10:36:49"	1468247713.47986	8.572	-59.427	-477.043	4.037	0.046	4.36	0.046	43	63	5	873	" Mtot = 825.98."	"07/11/16"	"10:36:49"	4.406	4.083	145.489	1014.9	28	761.23760177223	4.58726682952906	0	-59.427	809.82	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	15
"273"	9	1	"07/14/16 11:18:57"	1468509442.3707	-35.952	-37.681	-14.613	2.963	0.032	2.97	0.032	43	63	5	869	" Mtot = 825.98."	"07/14/16"	"11:18:57"	3.002	2.995	117.688	1014	31	760.5625462578	4.57030130802915	0	-37.681	809.82	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	25
"274"	10	1	"07/14/16 11:29:55"	1468510099.5395	-34.971	-37.466	-16.283	2.991	0.033	3.009	0.033	43	63	5	868	" Mtot = 825.98. only put in syringe when open valve was prompted and opened valve when injection was prompted."	"07/14/16"	"11:29:55"	3.042	3.024	146.221	1014	31	760.5625462578	4.56504204300264	0	-37.466	809.82	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	25
"364"	10	1	"07/21/16 10:07:30"	1469109955.23551	-37.201	-38.47	-14.472	3.036	0.033	3.034	0.033	43	63	5	868	" Mtot = 825.98."	"07/21/16"	"10:07:30"	3.067	3.069	128.692	1019.79	35	764.905403400633	4.53912337991614	0	-38.47	809.82	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	35
"365"	11	1	"07/21/16 10:17:38"	1469110562.60715	-37.15	-38.749	-15.445	3.01	0.033	3.009	0.033	43	63	5	868	" Mtot = 825.98."	"07/21/16"	"10:17:38"	3.042	3.043	130.099	1019.79	35	764.905403400633	4.53912337991614	0	-38.749	809.82	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	35
"418"	18	1	"08/01/16 14:47:54"	1470077177.24223	-38.17	-39.041	-18.426	2.945	0.032	2.942	0.032	43	63	5	870	" Mtot = 825.98."	"08/01/16"	"14:47:54"	2.974	2.977	136.775	1017.29	37	763.030249193883	4.56076283171802	0	-39.041	809.82	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	45
"419"	19	1	"08/01/16 14:58:45"	1470077829.20606	-37.545	-38.912	-17.934	2.934	0.032	2.933	0.032	43	63	5	871	" Mtot = 825.98."	"08/01/16"	"14:58:45"	2.965	2.966	140.602	1017.29	37	763.030249193883	4.56600508784643	0	-38.912	809.82	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	45
"517"	24	1	"08/11/16 12:39:49"	1470933493.13037	-37.406	-38.606	-14.815	3.094	0.033	3.093	0.033	43	63	5	879	" Mtot = 825.98."	"08/11/16"	"12:39:49"	3.126	3.127	195.632	1017.76	41	763.382778184752	4.60581519583229	0	-38.606	809.82	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	55
"518"	25	1	"08/11/16 12:50:06"	1470934109.16918	-37.324	-38.763	-16.032	2.969	0.032	2.969	0.032	43	63	5	879	" Mtot = 825.98."	"08/11/16"	"12:50:06"	3.001	3.001	184.312	1017.76	41	763.382778184752	4.60581519583229	0	-38.763	809.82	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	55
"577"	22	1	"08/22/16 12:11:27"	1471882190.80118	-36.206	-37.719	-16.126	2.993	0.033	3.001	0.033	43	63	5	873	" Mtot = 825.98."	"08/22/16"	"12:11:27"	3.034	3.026	195.318	1010.73	42	758.109844555371	4.60619265806797	0	-37.719	809.82	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	65
"578"	23	1	"08/22/16 12:21:54"	1471882817.68834	-36.961	-38.086	-16.657	2.983	0.032	2.991	0.032	43	63	5	873	" Mtot = 825.98."	"08/22/16"	"12:21:54"	3.023	3.015	191.48	1010.73	42	758.109844555371	4.60619265806797	0	-38.086	809.82	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	65
