"date"	"Date.ID.ppm"	"b.ppm"	"b.sd.ppm"	"m.ppm"	"m.sd.ppm"	"covar.mb.ppm"	"r.sqrd.ppm"	"Date.ID.delta"	"b.delta"	"b.sd.delta"	"m.delta"	"m.sd.delta"	"covar.mb.delta"	"r.sqrd.delta"
"1"	"stds.Barrow.HP"	"0"	"-0.0972827169540271"	"0.0588343596072351"	"0.974071816845272"	"0.00991638675641699"	"-0.000460429518613235"	"0.981586676334752"	"0"	"-6.8008181961525"	"0.795799153241704"	"0.880067777125694"	"0.0182933471220682"	"0.0141199413325359"	"0.925613086195867"
"2"	"04/05/16"	"3"	"-0.0772447021158955"	"0.0582627282186965"	"0.868903159886179"	"0.00855248856299814"	"-0.000404553139446967"	"0.99903211958438"	"5"	"-1.10738371192002"	"0.953209710342538"	"1.02352808572368"	"0.0215603850274321"	"0.019633071484192"	"0.991203572043579"
"3"	"04/08/16"	"3"	"-0.0772447021158955"	"0.0582627282186965"	"0.868903159886179"	"0.00855248856299814"	"-0.000404553139446967"	"0.99903211958438"	"5"	"-1.10738371192002"	"0.953209710342538"	"1.02352808572368"	"0.0215603850274321"	"0.019633071484192"	"0.991203572043579"
"4"	"04/11/16"	"4"	"-0.569653530273174"	"0.256740908192019"	"0.975734048085108"	"0.0677308715797274"	"-0.0131382469923822"	"0.932594618239993"	"5"	"-1.10738371192002"	"0.953209710342538"	"1.02352808572368"	"0.0215603850274321"	"0.019633071484192"	"0.991203572043579"
"5"	"04/13.14/16"	"5"	"0.00545133852104077"	"0.116538829865821"	"0.945716378967361"	"0.0224956921046254"	"-0.0018277598489528"	"0.988810263534521"	"5"	"-1.10738371192002"	"0.953209710342538"	"1.02352808572368"	"0.0215603850274321"	"0.019633071484192"	"0.991203572043579"
"6"	"04/14.15.16/16"	"6"	"-0.128902571305434"	"0.0744508274489682"	"0.96715526102568"	"0.0255920357101521"	"-0.0016798770570223"	"0.983473115083748"	"6"	"-8.22476815734546"	"1.73541546207685"	"0.871783684389575"	"0.0400491666541758"	"0.0680423770657003"	"0.951791612129255"
"7"	"04/16/16"	"8"	"-0.0742513377267418"	"0.0734145356943229"	"1.02664985262594"	"0.0256467087863451"	"-0.0014650523386155"	"0.992567075969487"	"6"	"-8.22476815734546"	"1.73541546207685"	"0.871783684389575"	"0.0400491666541758"	"0.0680423770657003"	"0.951791612129255"
"8"	"04/17/16"	"9"	"0.110313175272263"	"0.0982257050945905"	"0.981731625449351"	"0.0193364431016736"	"-0.00139580408400359"	"0.987359712314303"	"9"	"-4.57506637429962"	"1.45010106309616"	"0.926094762223754"	"0.0306847389654795"	"0.0431650469758368"	"0.965038303256864"
"9"	"04/19/16"	"11"	"0.0685322812104826"	"0.0669743307735254"	"0.965704582166371"	"0.0106793942030211"	"-0.000577465683157836"	"0.997316754269487"	"12"	"-8.15594356804005"	"1.76592195088517"	"0.824405188390093"	"0.0438076364076812"	"0.0771550908990568"	"0.977909434468327"
"10"	"04/20/16"	"12"	"-1.24722082190646"	"0.228436486274811"	"1.13793221411436"	"0.0266053443101617"	"-0.00599630675254267"	"0.996188074874386"	"12"	"-8.15594356804005"	"1.76592195088517"	"0.824405188390093"	"0.0438076364076812"	"0.0771550908990568"	"0.977909434468327"
"11"	"05/20/16"	"14"	"0.0237231560680333"	"0.612623897682642"	"1.00685989867436"	"0.0704997124458535"	"-0.0414888234251787"	"0.953264178945298"	"14"	"-3.75570254125556"	"1.11806846258002"	"0.934177639825115"	"0.0293603018307665"	"0.032284955190133"	"0.988285446450466"
"12"	"05/25/16"	"16"	"-0.692131705365637"	"0.231477531998537"	"0.990365929258924"	"0.0273413431422672"	"-0.0056996876922545"	"0.990936925161315"	"16"	"-7.08075405903905"	"2.9247053698112"	"0.830658538256714"	"0.0764107649421275"	"0.219963718395738"	"0.894082077745207"
