"date"	"Date.ID.ppm"	"b.ppm"	"b.sd.ppm"	"m.ppm"	"m.sd.ppm"	"covar.mb.ppm"	"r.sqrd.ppm"	"Date.ID.delta"	"b.delta"	"b.sd.delta"	"m.delta"	"m.sd.delta"	"covar.mb.delta"	"r.sqrd.delta"
"1"	"stds.JulAug.HR"	"23.5"	"-13.5406696657974"	"0.96052825777883"	"1.26052670202103"	"0.0117488254586657"	"-0.0104836054234958"	"0.993526701838708"	"23.5"	"0.248071358586974"	"0.490998339951658"	"1.07998753827684"	"0.0160436119262222"	"0.0076951299906895"	"0.980525416716187"
"2"	"07/07/16"	"28"	"-9.3481865657843"	"1.29745848262422"	"1.20769219804516"	"0.0190644515846789"	"-0.0223865797816793"	"0.998010421060033"	"25"	"1.66532683769585"	"0.731058146709538"	"1.14581607632971"	"0.0249712636829117"	"0.0178312025912116"	"0.997158376010062"
"3"	"07/08/16"	"28"	"-9.3481865657843"	"1.29745848262422"	"1.20769219804516"	"0.0190644515846789"	"-0.0223865797816793"	"0.998010421060033"	"26"	"1.95411875071051"	"0.96254484976699"	"1.15123649743079"	"0.0307000394601658"	"0.0290255202611669"	"0.995046749480747"
"4"	"07/10/16"	"28"	"-9.3481865657843"	"1.29745848262422"	"1.20769219804516"	"0.0190644515846789"	"-0.0223865797816793"	"0.998010421060033"	"27"	"3.76481946073367"	"2.05220983134128"	"1.22705552523576"	"0.0707717995245923"	"0.142312707943701"	"0.974077577782985"
"5"	"07/11/16"	"28"	"-9.3481865657843"	"1.29745848262422"	"1.20769219804516"	"0.0190644515846789"	"-0.0223865797816793"	"0.998010421060033"	"28"	"0.165943509374074"	"1.05872079688548"	"1.06422391280038"	"0.0324019154895343"	"0.033685847192576"	"0.992638666073289"
"6"	"07/13/16"	"30"	"-14.0672404351188"	"1.37664413238724"	"1.26264902167627"	"0.0168333506514174"	"-0.0214769037254053"	"0.998934718940642"	"30"	"-2.05310420150926"	"0.523219018033931"	"0.965369951468466"	"0.0168792228483017"	"0.00857256613195104"	"0.998169065965407"
"7"	"07/14/16"	"31"	"-12.083377468516"	"2.5568279625368"	"1.26513341646946"	"0.0336674948262986"	"-0.0791023195625655"	"0.995067133389268"	"31"	"0.186500690654488"	"0.330419323702415"	"1.06626041219456"	"0.0107170355533465"	"0.00345627598609814"	"0.999293334639789"
"8"	"07/20/16"	"34"	"-13.9676140940577"	"2.25194583173078"	"1.28484072136657"	"0.0274047477597204"	"-0.057602081069014"	"0.996825537299587"	"34"	"-0.83937394408809"	"0.150344928916992"	"1.02282002277208"	"0.00507226545183329"	"0.000741048611828593"	"0.999827881010186"
"9"	"07/21/16"	"35"	"-14.5711109583483"	"2.1493812310889"	"1.27724744431875"	"0.025471886841425"	"-0.0512351335600907"	"0.998015370771586"	"35"	"0.164444575651027"	"0.611119276773735"	"1.07650774903263"	"0.0211789192978572"	"0.0125983289896725"	"0.998068460444267"
"10"	"08/02/16"	"38"	"-11.6811744465489"	"1.63178278809029"	"1.23313150754204"	"0.0211278368381802"	"-0.0316589980690257"	"0.997949320421941"	"38"	"-1.04471191598216"	"0.139497788789076"	"1.0230570874346"	"0.00450572178023549"	"0.000612291851702979"	"0.999864241171196"
"11"	"08/03/16"	"38"	"-11.6811744465489"	"1.63178278809029"	"1.23313150754204"	"0.0211278368381802"	"-0.0316589980690257"	"0.997949320421941"	"38"	"-1.04471191598216"	"0.139497788789076"	"1.0230570874346"	"0.00450572178023549"	"0.000612291851702979"	"0.999864241171196"
"12"	"08/04/16"	"38"	"-11.6811744465489"	"1.63178278809029"	"1.23313150754204"	"0.0211278368381802"	"-0.0316589980690257"	"0.997949320421941"	"38"	"-1.04471191598216"	"0.139497788789076"	"1.0230570874346"	"0.00450572178023549"	"0.000612291851702979"	"0.999864241171196"
"13"	"08/11/16"	"41"	"-13.5882557926165"	"1.70639881983236"	"1.22941605125758"	"0.0245282909181122"	"-0.0385116473953282"	"0.998013706920792"	"41"	"1.28217050107136"	"1.41694684146549"	"1.12124063924553"	"0.0440642690073035"	"0.0614199697930371"	"0.992336897698939"
"14"	"08/22/16"	"42"	"-21.1189403293779"	"5.77996758869648"	"1.30264737037766"	"0.079421242254312"	"-0.426061130644445"	"0.985348919544295"	"42"	"3.13221063676749"	"2.26935514104874"	"1.22617594222964"	"0.0747078445743767"	"0.166741133683698"	"0.985368611352874"
