"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean"	"Delta.13CO2.Mean"	"HR.12CH4.Mean"	"HR.13CH4.Mean"	"HP.12CH4.Mean"	"HP.13CH4.Mean"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"Timestamp.cor"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"	"cali.date"	"m.water"	"treatment"	"sample.date"	"sample.depth"	"T.equil"	"V.hs.initial"	"sal"	"hs.removed"	"V.discarded"
"132"	44	1	"04/14/16 23:34:59"	1460673197.89834	-22.499	9999999	-2.705	48.1	0.531	36.955	9999999	38	38	0.6	892	" Mtot = 762.58g."	"04/13/16"	"23:34:59"	1460586797.89834	10000035.955	48.631	19.013	1022.7	5	767.08808289729	38.7613026408005	0	9999999	"04/13.14/16"	746.51	"500x Peri"	"20160409"	6.5	0	0.1	34.81692308	0	0
"133"	45	1	"04/14/16 23:45:05"	1460673804.61056	-22.529	9999999	-11.073	47.378	0.522	36.035	9999999	38	38	0.6	892	" Mtot = 762.58g."	"04/13/16"	"23:45:05"	1460587404.61056	10000035.035	47.9	18.462	1022.7	5	767.08808289729	38.7613026408005	0	9999999	"04/13.14/16"	746.51	"500x Peri"	"20160409"	6.5	0	0.1	34.81692308	0	0
"284"	26	1	"04/16/16 01:15:52"	1460769256.74319	-22.53	9999999	-12.387	78.766	0.869	66.123	9999999	38	38	1	870	" Mtot = 762.59."	"04/16/16"	"01:15:52"	1460769256.74319	10000065.123	79.635	29.105	1027.67	8	770.815889460309	22.5734838084133	0	9999999	"04/14.15.16/16"	746.51	"500x Peri"	"20160409"	6.5	0	0.1	34.81692308	1.2	0
"285"	27	1	"04/16/16 01:25:47"	1460769852.23739	-22.6	9999999	-14.98	79.288	0.875	60.769	9999999	38	38	1	869	" Mtot = 762.59. Pssim = 869.1."	"04/16/16"	"01:25:47"	1460769852.23739	10000059.769	80.163	29.834	1027.67	8	770.815889460309	22.5475372753002	0	9999999	"04/14.15.16/16"	746.51	"500x Peri"	"20160409"	6.5	0	0.1	34.81692308	1.2	0
"450"	22	1	"04/18/16 12:29:28"	1460982467.95657	-22.425	9999999	-21.532	81.794	0.899	66.495	9999999	38	38	1	834	" mtotal=762.58. Pssim=834.3 Torr."	"04/18/16"	"12:29:28"	1460982467.95657	10000065.495	82.693	29.65	1025.71	10	769.345768562217	21.6807587454107	0	9999999	"04/18/16"	746.51	"500x Peri"	"20160409"	6.5	0	0.1	34.81692308	3.2	0
"451"	23	1	"04/18/16 12:39:52"	1460983092.12899	-22.433	9999999	-23.586	81.783	0.899	63.371	9999999	38	38	1	834	" mtotal=762.58. "	"04/18/16"	"12:39:52"	1460983092.12899	10000062.371	82.682	29.957	1025.71	10	769.345768562217	21.6807587454107	0	9999999	"04/18/16"	746.51	"500x Peri"	"20160409"	6.5	0	0.1	34.81692308	3.2	0
"555"	21	1	"04/20/16 10:48:37"	1461149216.85245	-22.378	9999999	-5.809	80.419	0.885	57.325	9999999	38	38	1	835	" mtotal=762.58. Pssim=835.2 Torr."	"04/20/16"	"10:48:37"	1461149216.85245	10000056.325	81.304	31.469	1027.94	12	771.018406114638	21.6596645003012	0	9999999	"04/20/16"	746.51	"500x Peri"	"20160409"	6.5	0	0.1	34.81692308	5.2	0
"556"	22	1	"04/20/16 10:59:14"	1461149853.95792	-22.413	9999999	8.118	80.093	0.884	58.087	9999999	38	38	1	835	" mtotal=762.58."	"04/20/16"	"10:59:14"	1461149853.95792	10000057.087	80.977	30.499	1027.94	12	771.018406114638	21.6596645003012	0	9999999	"04/20/16"	746.51	"500x Peri"	"20160409"	6.5	0	0.1	34.81692308	5.2	0
"652"	31	1	"05/20/16 17:17:38"	1463778963.05842	-2.04	1.874	-15.11	6.238	0.07	6.233	0.07	38	38	1	839	" mtotal=762.58. mtotal May=764.48. Pssim=839 Torr."	"05/20/16"	"17:17:38"	1463778963.05842	6.303	6.308	48.91	1021.21	14	765.970490990067	21.9068491506908	0	1.874	"05/20/16"	746.51	"500x Peri"	"20160409"	6.5	1	0.1	34.81692308	7.2	0
"653"	32	1	"05/20/16 17:27:50"	1463779574.86439	-1.824	1.942	-16.955	6.08	0.068	6.076	0.068	38	38	1	838	" mtotal=762.58. mtotal May=764.48. Pssim=838 Torr."	"05/20/16"	"17:27:50"	1463779574.86439	6.144	6.148	49.6	1021.21	14	765.970490990067	21.8807384842419	0	1.942	"05/20/16"	746.51	"500x Peri"	"20160409"	6.5	1	0.1	34.81692308	7.2	0
