"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean"	"Delta.13CO2.Mean"	"HR.12CH4.Mean"	"HR.13CH4.Mean"	"HP.12CH4.Mean"	"HP.13CH4.Mean"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"Timestamp.cor"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"	"cali.date"	"m.water"	"treatment"	"sample.date"	"sample.depth"	"T.equil"	"V.hs.initial"	"sal"	"hs.removed"	"V.discarded"
"39"	29	1	"04/08/16 19:28:52"	1460143486.02915	-38.179	-38.082	-10.701	11.563	0.126	11.555	0.125	11	11	5	1200	"  Mtot = 820.85g"	"04/08/16"	"19:28:52"	1460143486.02915	11.68	11.689	117.953	1020	3	765.062916354	6.27399380808441	0	-38.082	"04/08/16"	804.73	"50x"	"20160407"	6.5	0	0.15	34.695	0	0
"40"	30	1	"04/08/16 19:44:21"	1460144414.17975	-39.468	-37.985	-6.708	11.347	0.124	11.347	0.124	11	11	5	1200	"  Mtot = 820.85g"	"04/08/16"	"19:44:21"	1460144414.17975	11.471	11.471	120.907	1020	3	765.062916354	6.27399380808441	0	-37.985	"04/08/16"	804.73	"50x"	"20160407"	6.5	0	0.15	34.695	0	0
"213"	18	1	"04/14/16 22:07:22"	1460671545.50944	-37.485	-37.006	-7.138	14.346	0.159	14.385	0.158	11	11	5	868	" Mtot = 820.55. "	"04/14/16"	"22:07:22"	1460671545.50944	14.543	14.505	177.338	1023.1	6	767.38810757037	4.52443811123515	0	-37.006	"04/14.15.16/16"	804.73	"50x"	"20160407"	6.5	0	0.15	34.695	10	5
"398"	41	1	"04/17/16 17:57:36"	1460915756.67905	-37.057	-36.814	-9.373	9.284	0.101	9.293	0.101	11	11	3	837	"  mtotal=820.85. Pssim=836.6 Torr."	"04/17/16"	"17:57:36"	1460915756.67905	9.394	9.385	134.774	1028.31	9	771.295928937237	7.23457727527311	0	-36.814	"04/17/16"	804.73	"50x"	"20160407"	6.5	0	0.15	34.695	20	0
"399"	42	1	"04/17/16 18:07:27"	1460916346.79786	-37.528	-36.889	-9.419	8.979	0.098	8.994	0.098	11	11	3	837	" mtotal=820.85. "	"04/17/16"	"18:07:27"	1460916346.79786	9.092	9.077	133.276	1028.31	9	771.295928937237	7.23457727527311	0	-36.889	"04/17/16"	804.73	"50x"	"20160407"	6.5	0	0.15	34.695	20	0
"400"	43	1	"04/17/16 18:17:32"	1460916951.3841	-37.441	-37.04	-9.755	9.009	0.099	9.023	0.098	11	11	3	837	" mtotal=820.85. "	"04/17/16"	"18:17:32"	1460916951.3841	9.121	9.108	132.309	1028.31	9	771.295928937237	7.23457727527311	0	-37.04	"04/17/16"	804.73	"50x"	"20160407"	6.5	0	0.15	34.695	20	0
"519"	49	1	"04/19/16 16:06:14"	1461081874.32987	-37.771	-36.593	-5.257	8.458	0.093	8.488	0.093	11	11	3	834	" mtotal=820.85. Pssim=834.4 "	"04/19/16"	"16:06:14"	1461081874.32987	8.581	8.551	86.726	1025.95	11	769.525783366065	7.22522899191163	0	-36.593	"04/19/16"	804.73	"50x"	"20160407"	6.5	0	0.15	34.695	29	0
"520"	50	1	"04/19/16 16:16:51"	1461082510.18499	-37.971	-36.73	-5.779	8.484	0.094	8.52	0.094	11	11	3	834	" mtotal=820.85. "	"04/19/16"	"16:16:51"	1461082510.18499	8.614	8.578	88.916	1025.95	11	769.525783366065	7.22522899191163	0	-36.73	"04/19/16"	804.73	"50x"	"20160407"	6.5	0	0.15	34.695	29	0
"588"	54	1	"04/20/16 16:56:15"	1461171275.79549	-35.959	-36.784	-10.716	8.757	0.095	8.751	0.095	11	11	3	834	" mtotal=820.85."	"04/20/16"	"16:56:15"	1461171275.79549	8.846	8.852	98.617	1027.94	12	771.018406114638	7.21124159411224	0	-36.784	"04/20/16"	804.73	"50x"	"20160407"	6.5	0	0.15	34.695	35	0
"589"	55	1	"04/20/16 17:06:10"	1461171869.48852	-35.926	-36.698	-9.702	8.77	0.095	8.764	0.095	11	11	3	835	" mtotal=820.85. Pssim=834.8."	"04/20/16"	"17:06:10"	1461171869.48852	8.859	8.865	99.12	1027.94	12	771.018406114638	7.21988816676705	0	-36.698	"04/20/16"	804.73	"50x"	"20160407"	6.5	0	0.15	34.695	35	0
"631"	10	1	"05/20/16 13:26:21"	1463765084.34346	-29.331	-27.123	-8.127	6.115	0.067	6.115	0.067	11	11	3	845	" mtotal=820.85. mtotal May=823.17. Pssim=845Torr."	"05/20/16"	"13:26:21"	1463765084.34346	6.182	6.182	183.066	1021.21	14	765.970490990067	7.35450438312823	0	-27.123	"05/20/16"	804.73	"50x"	"20160407"	6.5	1	0.15	34.695	41	0
