"term" "estimate" "std.error" "statistic" "p.value" "info" "sample.ID" "N"
"1" "(Intercept)" -11.1919285003207 0.0617267459963559 -181.31408548543 6.39999674318696e-19 "lm.ppm" 38 12
"2" "data.oxi$time.days" -0.0669417873108735 0.00267872462812259 -24.9901712957297 2.4087095456557e-10 "lm.ppm" 38 12
"3" "(Intercept)" -10.9386732688348 0.124882099292442 -87.592003424119 1.01839471880824e-07 "lm.ppm.sel" 38 6
"4" "data.oxi.sel$time.days" -0.0738164743786834 0.00384754284246163 -19.1853547578579 4.3495727081213e-05 "lm.ppm.sel" 38 6
"5" "(Intercept)" 0.486267673111457 0.378040246504739 1.2862854619511 0.227325565431471 "lm.delta.low" 38 12
"6" "data.oxi$time.days" -0.141605010046261 0.0164056229173909 -8.63149243154627 6.01656353643376e-06 "lm.delta.low" 38 12
"7" "(Intercept)" 0.138588701274067 0.107743347315649 1.2862854619511 0.227325565431472 "lm.delta.high" 38 12
"8" "data.oxi$time.days" -0.0403581309665107 0.00467568398936554 -8.63149243154627 6.01656353643379e-06 "lm.delta.high" 38 12
"9" "(Intercept)" 1.24075910146588 1.21258792254844 1.02323227734137 0.364042261782259 "lm.delta.low.sel" 38 6
"10" "data.oxi.sel$time.days" -0.162061795941514 0.0373591091813029 -4.33794593856701 0.0122727430106378 "lm.delta.low.sel" 38 6
"11" "(Intercept)" 0.353622504588583 0.345593578720353 1.02323227734138 0.364042261782258 "delta.high.sel" 38 6
"12" "data.oxi.sel$time.days" -0.0461884165195768 0.0106475316137376 -4.33794593856701 0.0122727430106378 "delta.high.sel" 38 6
