"term" "estimate" "std.error" "statistic" "p.value" "info" "sample.ID" "N"
"1" "(Intercept)" -11.3862017536047 0.0299940755681269 -379.615025231989 2.32437297167259e-16 "lm.ppm" 27 9
"2" "data.oxi$time.days" -0.0111791649067899 0.00717564405840482 -1.55793191744172 0.163208752033581 "lm.ppm" 27 9
"3" "(Intercept)" -11.3341950193619 0.0395284706609605 -286.73497430691 9.35426616653067e-08 "lm.ppm.sel" 27 5
"4" "data.oxi.sel$time.days" -0.0183562090048137 0.00725943410358101 -2.52860054143322 0.0855289625099055 "lm.ppm.sel" 27 5
"5" "(Intercept)" 0.00114178243840336 0.0229730891283677 0.0497008666106407 0.961749178837196 "lm.delta.low" 27 9
"6" "data.oxi$time.days" -0.0095967971526427 0.00549597570135982 -1.74614985111165 0.124289158883443 "lm.delta.low" 27 9
"7" "(Intercept)" 0.000325413664172552 0.00654744446856149 0.0497008666106407 0.961749178837196 "lm.delta.high" 27 9
"8" "data.oxi$time.days" -0.00273513483893586 0.00156638036374403 -1.74614985111165 0.124289158883443 "lm.delta.high" 27 9
"9" "(Intercept)" -0.146937161475476 0.113064839395497 -1.29958316184835 0.28459291352091 "lm.delta.low.sel" 27 5
"10" "data.oxi.sel$time.days" 0.0165011490255555 0.0207644449000709 0.794682887260773 0.484860161248205 "lm.delta.low.sel" 27 5
"11" "(Intercept)" -0.041877820599266 0.0322240406221521 -1.29958316184835 0.28459291352091 "delta.high.sel" 27 5
"12" "data.oxi.sel$time.days" 0.00470290940450284 0.00591796989704095 0.794682887260773 0.484860161248205 "delta.high.sel" 27 5
