"term" "estimate" "std.error" "statistic" "p.value" "info" "sample.ID" "N"
"1" "(Intercept)" -14.3995262846446 0.0419434160966334 -343.308381259875 4.69790374242765e-16 "lm.ppm" 23 9
"2" "data.oxi$time.days" -0.0106666098573236 0.0012364721786963 -8.62664768451976 5.61443139193094e-05 "lm.ppm" 23 9
"3" "(Intercept)" -14.2848157750058 0.0544149352104092 -262.516452877688 1.52213687286721e-11 "lm.ppm.sel" 23 7
"4" "data.oxi.sel$time.days" -0.0134125020492357 0.00141470677902061 -9.4807646702033 0.000220629831936772 "lm.ppm.sel" 23 7
"5" "(Intercept)" 0.0640885923838518 0.0390366422701287 1.64175473751986 0.144644671390373 "lm.delta.low" 23 9
"6" "data.oxi$time.days" -0.0430625752642362 0.00115078185347446 -37.4202766008353 2.53097805538326e-09 "lm.delta.low" 23 9
"7" "(Intercept)" 0.0182655670448513 0.0111256368734129 1.64175473751987 0.144644671390372 "lm.delta.high" 23 9
"8" "data.oxi$time.days" -0.0122730477664703 0.0003279785421521 -37.4202766008354 2.53097805538325e-09 "lm.delta.high" 23 9
"9" "(Intercept)" 0.195409945284817 0.028917796192964 6.75742867751318 0.0010777948068788 "lm.delta.low.sel" 23 7
"10" "data.oxi.sel$time.days" -0.0462060646284208 0.000751819370000769 -61.4589972966161 2.1584669090408e-08 "lm.delta.low.sel" 23 7
"11" "(Intercept)" 0.0556928046640927 0.00824171549888827 6.7574286775132 0.00107779480687878 "delta.high.sel" 23 7
"12" "data.oxi.sel$time.days" -0.0131689578434524 0.000214272253416302 -61.4589972966164 2.15846690904074e-08 "delta.high.sel" 23 7
