"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean"	"Delta.13CO2.Mean"	"HR.12CH4.Mean"	"HR.13CH4.Mean"	"HP.12CH4.Mean"	"HP.13CH4.Mean"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"Timestamp.cor"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"	"cali.date"	"m.water"	"treatment"	"sample.date"	"sample.depth"	"T.equil"	"V.hs.initial"	"sal"	"hs.removed"	"V.discarded"
"43"	33	1	"04/08/16 20:31:33"	1460147243.56851	-41.212	-37.906	-0.693	10.953	0.121	10.974	0.121	17	17	5	1200	"  Mtot = 892.68g syringe valve only opened when injection started"	"04/08/16"	"20:31:33"	1460147243.56851	11.095	11.074	112.778	1020	3	765.062916354	6.27399380808441	0	-37.906	"04/08/16"	876.49	"50x"	"20160407"	3.5	0	0.15	34.695	0	0
"44"	34	1	"04/08/16 20:47:51"	1460148220.65733	-38.202	-38.23	-11.547	11.293	0.123	11.286	0.122	17	17	5	1200	"  Mtot = 892.68g "	"04/08/16"	"20:47:51"	1460148220.65733	11.408	11.416	118.918	1020	3	765.062916354	6.27399380808441	0	-38.23	"04/08/16"	876.49	"50x"	"20160407"	3.5	0	0.15	34.695	0	0
"218"	23	1	"04/14/16 23:05:44"	1460675048.70606	-38.245	-36.976	-6.522	8.92	0.099	8.966	0.099	17	17	3	868	" Mtot = 852.68."	"04/14/16"	"23:05:44"	1460675048.70606	9.065	9.019	127.444	1023.1	6	767.38810757037	7.54073018539192	0	-36.976	"04/14.15.16/16"	876.49	"50x"	"20160407"	3.5	0	0.15	34.695	10	0
"219"	24	1	"04/14/16 23:17:29"	1460675753.65239	-38.277	-36.93	-7.017	8.475	0.094	8.516	0.094	17	17	3	868	" Mtot = 852.68."	"04/14/16"	"23:17:29"	1460675753.65239	8.61	8.569	125.442	1023.1	6	767.38810757037	7.54073018539192	0	-36.93	"04/14.15.16/16"	876.49	"50x"	"20160407"	3.5	0	0.15	34.695	10	0
"220"	25	1	"04/14/16 23:29:58"	1460676501.9138	-38.394	-37.021	-6.204	8.643	0.096	8.69	0.096	17	17	3	868	" Mtot = 852.68."	"04/14/16"	"23:29:58"	1460676501.9138	8.786	8.739	129.497	1023.1	6	767.38810757037	7.54073018539192	0	-37.021	"04/14.15.16/16"	876.49	"50x"	"20160407"	3.5	0	0.15	34.695	10	0
"404"	47	1	"04/17/16 18:59:24"	1460919464.34762	-37.468	-36.599	-9.084	8.64	0.095	8.662	0.095	17	17	3	837	" mtotal=892.68. Pssim=836.5 Torr."	"04/17/16"	"18:59:24"	1460919464.34762	8.757	8.735	117.309	1028.31	9	771.295928937237	7.23457727527311	0	-36.599	"04/17/16"	876.49	"50x"	"20160407"	3.5	0	0.15	34.695	19	0
"405"	48	1	"04/17/16 19:09:59"	1460920098.72146	-37.58	-36.517	-8.183	8.803	0.097	8.83	0.097	17	17	3	837	" mtotal=892.68."	"04/17/16"	"19:09:59"	1460920098.72146	8.927	8.9	117.173	1028.31	9	771.295928937237	7.23457727527311	0	-36.517	"04/17/16"	876.49	"50x"	"20160407"	3.5	0	0.15	34.695	19	0
"523"	53	1	"04/19/16 16:50:07"	1461084507.08288	-37.642	-36.465	-6.487	8.469	0.093	8.497	0.093	17	17	3	834	" mtotal=892.68. Pssim=834.2 "	"04/19/16"	"16:50:07"	1461084507.08288	8.59	8.562	93.364	1025.95	11	769.525783366065	7.22522899191163	0	-36.465	"04/19/16"	876.49	"50x"	"20160407"	3.5	0	0.15	34.695	25	0
"524"	54	1	"04/19/16 17:01:31"	1461085191.33518	-38.015	-36.577	-7.203	8.154	0.09	8.186	0.09	17	17	3	834	" mtotal=892.68."	"04/19/16"	"17:01:31"	1461085191.33518	8.276	8.244	90.506	1025.95	11	769.525783366065	7.22522899191163	0	-36.577	"04/19/16"	876.49	"50x"	"20160407"	3.5	0	0.15	34.695	25	0
"525"	55	1	"04/19/16 17:11:53"	1461085811.86494	-37.418	-36.726	-9.88	8.344	0.092	8.367	0.092	17	17	3	834	" mtotal=892.68."	"04/19/16"	"17:11:53"	1461085811.86494	8.459	8.436	102.592	1025.95	11	769.525783366065	7.22522899191163	0	-36.726	"04/19/16"	876.49	"50x"	"20160407"	3.5	0	0.15	34.695	34	0
