"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean"	"Delta.13CO2.Mean"	"HR.12CH4.Mean"	"HR.13CH4.Mean"	"HP.12CH4.Mean"	"HP.13CH4.Mean"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"Timestamp.cor"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"	"cali.date"	"m.water"	"treatment"	"sample.date"	"sample.depth"	"T.equil"	"V.hs.initial"	"sal"	"hs.removed"	"V.discarded"
"41"	31	1	"04/08/16 20:00:05"	1460145357.19485	-37.912	-38.292	-14.295	11.943	0.129	11.936	0.129	14	14	5	1200	"  Mtot = 778.22g"	"04/08/16"	"20:00:05"	1460145357.19485	12.065	12.072	114.354	1020	3	765.062916354	6.27399380808441	0	-38.292	"04/08/16"	762.1	"50x"	"20160407"	5	0	0.15	34.695	0	0
"42"	32	1	"04/08/16 20:15:45"	1460146295.74606	-39.539	-38.101	-6.667	11.957	0.131	11.957	0.131	14	14	5	1200	"  Mtot = 778.22g"	"04/08/16"	"20:15:45"	1460146295.74606	12.088	12.088	120.403	1020	3	765.062916354	6.27399380808441	0	-38.101	"04/08/16"	762.1	"50x"	"20160407"	5	0	0.15	34.695	0	0
"215"	20	1	"04/14/16 22:31:48"	1460673013.06538	-37.597	-36.814	-6.424	9.337	0.103	9.38	0.103	14	14	3	868	" Mtot = 778.22.   (Using 3 ml inj. volume to get back into HP range)"	"04/14/16"	"22:31:48"	1460673013.06538	9.483	9.44	134.633	1023.1	6	767.38810757037	7.54073018539192	0	-36.814	"04/14.15.16/16"	762.1	"50x"	"20160407"	5	0	0.15	34.695	10	0
"216"	21	1	"04/14/16 22:43:57"	1460673741.95301	-38.067	-36.817	-6.431	9.099	0.101	9.147	0.101	14	14	3	868	" Mtot = 778.22."	"04/14/16"	"22:43:57"	1460673741.95301	9.248	9.2	128.553	1023.1	6	767.38810757037	7.54073018539192	0	-36.817	"04/14.15.16/16"	762.1	"50x"	"20160407"	5	0	0.15	34.695	10	0
"217"	22	1	"04/14/16 22:54:42"	1460674386.2076	-38.094	-36.968	-5.987	9.316	0.103	9.362	0.103	14	14	3	868	" Mtot = 778.22.  Pssim = 868.1"	"04/14/16"	"22:54:42"	1460674386.2076	9.465	9.419	130.901	1023.1	6	767.38810757037	7.54073018539192	0	-36.968	"04/14.15.16/16"	762.1	"50x"	"20160407"	5	0	0.15	34.695	10	0
"401"	44	1	"04/17/16 18:27:43"	1460917563.07865	-37.364	-36.785	-9.253	9.428	0.103	9.447	0.103	14	14	3	837	" mtotal=778.22. Pssim=836.5 Torr."	"04/17/16"	"18:27:43"	1460917563.07865	9.55	9.531	123.682	1028.31	9	771.295928937237	7.23457727527311	0	-36.785	"04/17/16"	762.1	"50x"	"20160407"	5	0	0.15	34.695	19	3
"403"	46	1	"04/17/16 18:48:37"	1460918816.38356	-37.558	-36.764	-9.491	9.334	0.103	9.357	0.103	14	14	3	837	" mtotal=778.22."	"04/17/16"	"18:48:37"	1460918816.38356	9.46	9.437	120.798	1028.31	9	771.295928937237	7.23457727527311	0	-36.764	"04/17/16"	762.1	"50x"	"20160407"	5	0	0.15	34.695	19	0
"521"	51	1	"04/19/16 16:27:24"	1461083144.73945	-37.907	-36.47	-4.55	8.736	0.097	8.774	0.097	14	14	3	834	" mtotal=778.22. Pssim=834.3 "	"04/19/16"	"16:27:24"	1461083144.73945	8.871	8.833	85.453	1025.95	11	769.525783366065	7.22522899191163	0	-36.47	"04/19/16"	762.1	"50x"	"20160407"	5	0	0.15	34.695	28	0
"522"	52	1	"04/19/16 16:39:59"	1461083898.49031	-38.035	-36.594	-6.067	8.739	0.097	8.774	0.097	14	14	3	834	" mtotal=778.22."	"04/19/16"	"16:39:59"	1461083898.49031	8.871	8.836	87.477	1025.95	11	769.525783366065	7.22522899191163	0	-36.594	"04/19/16"	762.1	"50x"	"20160407"	5	0	0.15	34.695	28	0
"590"	56	1	"04/20/16 17:17:12"	1461172530.73521	-35.95	-36.75	-10.17	9.118	0.099	9.111	0.099	14	14	3	835	" mtotal=778.22. Pssim=834.6 "	"04/20/16"	"17:17:12"	1461172530.73521	9.21	9.217	99.416	1027.94	12	771.018406114638	7.21988816676705	0	-36.75	"04/20/16"	762.1	"50x"	"20160407"	5	0	0.15	34.695	34	0
"591"	57	1	"04/20/16 17:27:39"	1461173158.59423	-35.907	-36.804	-10.263	9.177	0.099	9.171	0.099	14	14	3	835	" mtotal=778.22. "	"04/20/16"	"17:27:39"	1461173158.59423	9.27	9.276	98.396	1027.94	12	771.018406114638	7.21988816676705	0	-36.804	"04/20/16"	762.1	"50x"	"20160407"	5	0	0.15	34.695	34	0
"633"	12	1	"05/20/16 13:48:55"	1463766439.64185	-30.38	-27.057	-6.97	6.592	0.073	6.597	0.073	14	14	3	844	" mtotal=778.22. mtotal May=781.17. Pssim=844Torr."	"05/20/16"	"13:48:55"	1463766439.64185	6.67	6.665	180.517	1021.21	14	765.970490990067	7.34580082764524	0	-27.057	"05/20/16"	762.1	"50x"	"20160407"	5	1	0.15	34.695	40	0
"634"	13	1	"05/20/16 14:00:29"	1463767133.38123	-30.363	-27.21	-7.247	5.957	0.066	5.963	0.066	14	14	3	844	" mtotal=778.22. mtotal May=781.17. Pssim=844Torr."	"05/20/16"	"14:00:29"	1463767133.38123	6.029	6.023	177.321	1021.21	14	765.970490990067	7.34580082764524	0	-27.21	"05/20/16"	762.1	"50x"	"20160407"	5	1	0.15	34.695	40	0
"676"	13	1	"05/25/16 10:50:03"	1464187707.21323	-28.25	-24.026	-7.627	5.58	0.062	5.598	0.062	14	14	3	840	" mtotal=778.22. "	"05/25/16"	"10:50:03"	1464187707.21323	5.66	5.642	155.24	1004.48	16	753.421959038496	7.43275389417455	0	-24.026	"05/25/16"	762.1	"50x"	"20160407"	5	1	0.15	34.695	46	0
"677"	14	1	"05/25/16 11:00:01"	1464188305.17225	-27.657	-23.833	-7.444	5.893	0.065	5.914	0.066	14	14	3	839	" mtotal=778.22. Pssim=839Torr."	"05/25/16"	"11:00:01"	1464188305.17225	5.98	5.958	161.613	1004.48	16	753.421959038496	7.42390537763387	0	-23.833	"05/25/16"	762.1	"50x"	"20160407"	5	1	0.15	34.695	46	0
