"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean"	"Delta.13CO2.Mean"	"HR.12CH4.Mean"	"HR.13CH4.Mean"	"HP.12CH4.Mean"	"HP.13CH4.Mean"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"Timestamp.cor"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"	"cali.date"	"m.water"	"treatment"	"sample.date"	"sample.depth"	"T.equil"	"V.hs.initial"	"sal"	"hs.removed"	"V.discarded"
"144"	11	1	"04/15/16 01:59:05"	1460685444.91805	-22.599	9999999	-11.547	47.086	0.52	38.476	9999999	35	35	0.6	906	" Mtot = 790.55g."	"04/14/16"	"01:59:05"	1460599044.91805	10000037.476	47.606	18.586	1023.1	6	767.38810757037	39.3542715896606	0	9999999	"04/13.14/16"	774.27	"500x Subm"	"20160409"	5	0	0.1	34.81692308	0	0
"145"	12	1	"04/15/16 02:09:01"	1460686041.29839	-22.547	9999999	-8.147	46.249	0.511	40.277	9999999	35	35	0.6	906	" Mtot = 790.55g."	"04/14/16"	"02:09:01"	1460599641.29839	10000039.277	46.76	18.677	1023.1	6	767.38810757037	39.3542715896606	0	9999999	"04/13.14/16"	774.27	"500x Subm"	"20160409"	5	0	0.1	34.81692308	0	0
"146"	13	1	"04/15/16 02:19:18"	1460686658.01375	-22.503	9999999	-18.308	45.967	0.507	36.29	9999999	35	35	0.6	906	" Mtot = 790.55g."	"04/14/16"	"02:19:18"	1460600258.01375	10000035.29	46.474	18.762	1023.1	6	767.38810757037	39.3542715896606	0	9999999	"04/13.14/16"	774.27	"500x Subm"	"20160409"	5	0	0.1	34.81692308	0	0
"292"	34	1	"04/16/16 02:42:21"	1460774445.93441	-22.647	9999999	-13.987	79.101	0.873	53.753	9999999	35	35	1	869	" Mtot = 790.55."	"04/16/16"	"02:42:21"	1460774445.93441	10000052.753	79.974	29.43	1027.67	8	770.815889460309	22.5475372753002	0	9999999	"04/14.15.16/16"	774.27	"500x Subm"	"20160409"	5	0	0.1	34.81692308	1.8	0
"293"	35	1	"04/16/16 02:52:56"	1460775080.26244	-22.55	9999999	-12.77	78.974	0.872	56.311	9999999	35	35	1	869	" Mtot = 790.55. Pssim = 868.5."	"04/16/16"	"02:52:56"	1460775080.26244	10000055.311	79.846	29.397	1027.67	8	770.815889460309	22.5475372753002	0	9999999	"04/14.15.16/16"	774.27	"500x Subm"	"20160409"	5	0	0.1	34.81692308	1.8	0
"459"	31	1	"04/18/16 15:01:39"	1460991599.0216	-22.459	9999999	-24.158	80.563	0.885	59.251	9999999	35	35	1	834	" mtotal=790.55. Pssim=834.0 Torr. "	"04/18/16"	"15:01:39"	1460991599.0216	10000058.251	81.448	29.774	1025.71	10	769.345768562217	21.6807587454107	0	9999999	"04/18/16"	774.27	"500x Subm"	"20160409"	5	0	0.1	34.81692308	3.8	0
"460"	32	1	"04/18/16 15:11:37"	1460992197.18547	-22.441	9999999	-26.002	80.274	0.882	61.036	9999999	35	35	1	834	" mtotal=790.55.  "	"04/18/16"	"15:11:37"	1460992197.18547	10000060.036	81.156	29.461	1025.71	10	769.345768562217	21.6807587454107	0	9999999	"04/18/16"	774.27	"500x Subm"	"20160409"	5	0	0.1	34.81692308	3.8	0
"563"	29	1	"04/20/16 12:10:40"	1461154139.79925	-22.382	9999999	-10.674	79.267	0.873	65.157	9999999	35	35	1	835	" mtotal=790.55. Pssim=835.2 Torr."	"04/20/16"	"12:10:40"	1461154139.79925	10000064.157	80.14	29.031	1027.94	12	771.018406114638	21.6596645003012	0	9999999	"04/20/16"	774.27	"500x Subm"	"20160409"	5	0	0.1	34.81692308	5.8	0
"564"	30	1	"04/20/16 12:21:08"	1461154768.35695	-22.343	9999999	-8.296	80.166	0.883	64.075	9999999	35	35	1	835	" mtotal=790.55."	"04/20/16"	"12:21:08"	1461154768.35695	10000063.075	81.049	30.675	1027.94	12	771.018406114638	21.6596645003012	0	9999999	"04/20/16"	774.27	"500x Subm"	"20160409"	5	0	0.1	34.81692308	5.8	0
